address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Podgórze Płaszów Koszykarska,Kraków,3.0,50.0498929,19.9906026,400000.0,2.0,32.0,2015.0,12500.0
Prądnik Biały Azory Radzikowskiego,Kraków,1.0,50.0835261,19.9038175,206055.0,1.0,21.69,2020.0,9500.0
Prądnik Czerwony,Kraków,1.0,50.0859419,19.96660060819073,615000.0,3.0,60.51,2010.0,10163.609320773427
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,2.0,50.0492242,19.9703793,429000.0,2.0,34.77,2021.0,12338.222605694564
Prądnik Biały Wincentego Danka,Kraków,0.0,50.0934163,19.9257215,293702.0,1.0,24.89,2020.0,11800.0
Bronowice Kołowa,Kraków,4.0,50.0723622,19.898639,746000.0,3.0,62.0,2010.0,12032.258064516129
Prądnik Biały Azory Radzikowskiego,Kraków,1.0,50.0835261,19.9038175,499000.0,2.0,45.0,1980.0,11088.888888888889
Stare Miasto Kazimierz pl. Wolnica,Kraków,2.0,50.0484367,19.9442508,799000.0,3.0,65.0,1910.0,12292.307692307691
Podgórze Duchackie ul. Wiktora Heltmana,Kraków,1.0,50.0275818,19.9696293,630000.0,2.0,54.0,1970.0,11666.666666666666
Podgórze ul. Wodna,Kraków,1.0,50.0349925,19.9703118,277750.0,2.0,25.25,2022.0,11000.0
Stare Miasto,Kraków,0.0,50.0590398,19.93716829792899,415000.0,1.0,31.25,1936.0,13280.0
Podgórze Płaszów,Kraków,3.0,50.0345327,19.9754459,291000.0,1.0,29.31,2022.0,9928.35209825998
Dębniki Rzemieślnicza,Kraków,0.0,50.0469432,19.997153435836697,499000.0,2.0,40.86,2020.0,12212.432697014196
Nowa Huta Czyżyny os. Dywizjonu 303,Kraków,0.0,50.0818649,20.0122791,460000.0,2.0,39.65,2019.0,11601.513240857503
Podgórze,Kraków,0.0,50.0430999,19.9529614,369000.0,1.0,28.0,2020.0,13178.57142857143
Stare Miasto Retoryka,Kraków,4.0,50.0580096,19.9284227,1055000.0,3.0,88.0,1900.0,11988.636363636364
Grzegórzki,Kraków,0.0,50.06497215,19.968825516425383,463320.0,2.0,38.61,2021.0,12000.0
Bronowice ul. Bronowicka,Kraków,1.0,50.0778251,19.900680986965757,600484.0,2.0,49.22,2022.0,12200.0
Podgórze,Kraków,3.0,50.0430999,19.9529614,899000.0,3.0,72.0,2010.0,12486.111111111111
Podgórze ul. Stanisława Klimeckiego,Kraków,4.0,50.0492242,19.9703793,569000.0,3.0,53.98,2021.0,10540.941089292332
Bronowice Juliusza Lea,Kraków,1.0,50.0833247,19.869783648014888,750000.0,3.0,70.0,2000.0,10714.285714285714
Grzegórzki ul. płk. Francesco Nullo,Kraków,3.0,50.0469432,19.997153435836697,826656.0,3.0,75.84,2022.0,10900.0
Bronowice ul. Bronowicka,Kraków,4.0,50.0778251,19.900680986965757,639860.0,2.0,49.22,2022.0,13000.0
Grzegórzki ul. Dąbska,Kraków,2.0,50.064613,19.9820189,655000.0,3.0,53.0,2014.0,12358.490566037735
Stare Miasto,Kraków,1.0,50.0590398,19.93716829792899,590000.0,2.0,47.0,1935.0,12553.191489361701
Grzegórzki,Kraków,0.0,50.06497215,19.968825516425383,950000.0,4.0,84.4,2001.0,11255.924170616114
Dębniki Ruczaj ul. Ruczaj,Kraków,2.0,50.0230156,19.9083637,575000.0,2.0,50.0,2016.0,11500.0
Stare Miasto Stanisława Staszica,Kraków,2.0,50.0704954,19.9334896,1092000.0,3.0,91.0,1916.0,12000.0
Podgórze,Kraków,0.0,50.0430999,19.9529614,590000.0,3.0,52.0,2017.0,11346.153846153846
Podgórze ul. płk. Ryszarda Kuklińskiego 7,Kraków,4.0,50.0469432,19.997153435836697,556976.0,2.0,49.73,2020.0,11200.0
Grzegórzki ul. płk. Francesco Nullo,Kraków,5.0,50.0469432,19.997153435836697,681686.0,3.0,57.77,2022.0,11800.0
Krowodrza Łobzów,Kraków,4.0,50.073512,19.9149277,305000.0,1.0,28.08,1974.0,10861.823361823363
Grzegórzki ul. płk. Francesco Nullo,Kraków,2.0,50.0469432,19.997153435836697,783622.0,3.0,70.28,2022.0,11150.0
Bronowice Stańczyka,Kraków,5.0,50.0788285,19.8942504,339000.0,1.0,29.33,2021.0,11558.131605864304
Podgórze ul. Zabłocie 27,Kraków,4.0,50.0478769,19.961368688357496,1400190.0,4.0,127.29,2021.0,11000.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,2.0,50.0492242,19.9703793,449000.0,2.0,41.0,2021.0,10951.219512195123
Dębniki Kliny-Zacisze bp. Albina Małysiaka,Kraków,0.0,49.9988318,19.8938784,224900.0,1.0,24.0,2020.0,9370.833333333334
Podgórze Przewóz,Kraków,8.0,50.0435196,20.0712999,690000.0,3.0,62.76,2017.0,10994.263862332697
Grzegórzki ul. Fabryczna,Kraków,8.0,50.058444,19.9702351,1209625.0,4.0,96.77,2021.0,12500.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,429000.0,1.0,33.28,2021.0,12890.625
Nowa Huta al. Pokoju,Kraków,4.0,49.9752188,19.8281486,570620.0,3.0,55.4,2020.0,10300.0
Dębniki Ruczaj ul. dr. Jana Piltza,Kraków,0.0,50.0076191,19.8888826,569000.0,3.0,51.0,2020.0,11156.862745098038
Dębniki Ruczaj,Kraków,5.0,50.0230156,19.9083637,680000.0,3.0,66.0,2005.0,10303.030303030304
Podgórze ul. płk. Ryszarda Kuklińskiego 7,Kraków,3.0,50.0469432,19.997153435836697,400907.9,2.0,35.51,2020.0,11290.000000000002
Podgórze ul. Stanisława Klimeckiego,Kraków,2.0,50.0492242,19.9703793,709000.0,3.0,69.84,2021.0,10151.775486827033
Podgórze Rydlówka,Kraków,0.0,50.08780725,19.878046068078184,379000.0,2.0,34.78,2020.0,10897.067280046003
Nowa Huta Czyżyny,Kraków,7.0,50.0816349,20.016490706002102,640000.0,3.0,56.0,2017.0,11428.57142857143
Prądnik Biały Tonie,Kraków,0.0,50.1121816,19.8994401,728000.0,3.0,65.0,2020.0,11200.0
Podgórze ul. płk. Ryszarda Kuklińskiego 7,Kraków,1.0,50.0469432,19.997153435836697,428479.0,2.0,39.31,2020.0,10900.0
Podgórze Duchackie Wola Duchacka ul. Sebastiana Klonowica,Kraków,2.0,50.0197558,19.9528554,414000.0,2.0,33.0,2020.0,12545.454545454546
Łagiewniki-Borek Fałęcki Łagiewniki ul. Totus Tuus,Kraków,1.0,50.0125315,19.9376076,900000.0,4.0,82.0,2022.0,10975.609756097561
Podgórze Płaszów,Kraków,4.0,50.0345327,19.9754459,399616.0,2.0,35.68,2021.0,11200.0
Krowodrza,Kraków,0.0,50.07087985,19.91656311814478,388600.0,1.0,29.0,2022.0,13400.0
Podgórze ul. Stanisława Klimeckiego,Kraków,4.0,50.0492242,19.9703793,709000.0,3.0,69.67,2021.0,10176.546576718816
Dębniki Ruczaj,Kraków,0.0,50.0230156,19.9083637,569000.0,3.0,51.0,2020.0,11156.862745098038
Podgórze ul. płk. Ryszarda Kuklińskiego 7,Kraków,4.0,50.0469432,19.997153435836697,561568.0,2.0,50.14,2020.0,11200.0
Grzegórzki Grzegórzecka,Kraków,2.0,50.0587885,19.9500605,585000.0,1.0,45.0,2014.0,13000.0
Podgórze Zabłocie Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,429000.0,2.0,34.74,2020.0,12348.87737478411
Stare Miasto,Kraków,4.0,50.0590398,19.93716829792899,549000.0,2.0,46.0,1920.0,11934.782608695652
Łagiewniki-Borek Fałęcki Cegielniana ul. Klementyny Hoffmanowej 6B,Kraków,4.0,50.02390345,19.933227742089347,699000.0,3.0,68.84,2020.0,10153.98024404416
Podgórze Stanisława Klimeckiego,Kraków,3.0,50.0492242,19.9703793,699000.0,3.0,67.54,2021.0,10349.422564406277
Bieżanów-Prokocim Podłęska,Kraków,3.0,50.0087167,20.0131964,295500.0,1.0,36.5,2005.0,8095.890410958904
Grzegórzki Hugona Kołłątaja,Kraków,1.0,50.0469432,19.997153435836697,690000.0,2.0,55.4,1970.0,12454.873646209386
Grzegórzki,Kraków,3.0,50.06497215,19.968825516425383,981000.0,3.0,81.75,2020.0,12000.0
Grzegórzki Grzegórzecka,Kraków,1.0,50.0587885,19.9500605,790625.0,3.0,63.25,2021.0,12500.0
Krowodrza Rusznikarska,Kraków,7.0,50.0853032,19.9270113,205000.0,1.0,20.3,2000.0,10098.522167487685
Podgórze Walerego Sławka,Kraków,3.0,50.0242313,19.959569,349000.0,1.0,35.35,2021.0,9872.701555869873
Grzegórzki ul. Grzegórzecka,Kraków,7.0,50.0587885,19.9500605,1096160.0,3.0,84.32,2020.0,13000.000000000002
Grzegórzki ul. Fabryczna,Kraków,3.0,50.058444,19.9702351,895974.0,3.0,75.93,2021.0,11799.999999999998
Podgórze,Kraków,1.0,50.0430999,19.9529614,559000.0,3.0,53.84,2021.0,10382.61515601783
Bieżanów-Prokocim ul. Erazma Jerzmanowskiego,Kraków,1.0,50.0102367,20.0086943,195000.0,1.0,25.9,1975.0,7528.95752895753
