address,city,floor,price,rooms,sq,year,price_per_sq
Bieżanów-Prokocim,Kraków,4.0,265000.0,2.0,35.43,2021.0,7479.537115438894
Podgórze Duchackie,Kraków,1.0,500000.0,3.0,59.5,1978.0,8403.361344537816
Mistrzejowice,Kraków,1.0,369000.0,3.0,47.0,1972.0,7851.063829787234
Stare Miasto,Kraków,1.0,590000.0,2.0,63.0,1900.0,9365.079365079366
Grzegórzki,Kraków,1.0,790625.0,3.0,63.25,2021.0,12500.0
Krowodrza,Kraków,7.0,205000.0,1.0,20.3,2000.0,10098.522167487685
Podgórze Duchackie,Kraków,3.0,349000.0,1.0,35.35,2021.0,9872.701555869871
Prądnik Czerwony,Kraków,1.0,468000.0,3.0,53.0,1980.0,8830.188679245282
Grzegórzki,Kraków,0.0,480000.0,3.0,55.7,1966.0,8617.594254937163
Zwierzyniec,Kraków,2.0,650000.0,3.0,75.0,2008.0,8666.666666666666
Podgórze,Kraków,5.0,749000.0,3.0,75.86,2021.0,9873.451094120748
Grzegórzki,Kraków,7.0,1096160.0,3.0,84.32,2020.0,13000.000000000002
Grzegórzki,Kraków,3.0,895974.0,3.0,75.93,2021.0,11799.999999999998
Prądnik Biały,Kraków,3.0,320000.0,2.0,38.0,1980.0,8421.052631578947
Bronowice,Kraków,0.0,568592.0,4.0,71.53,2022.0,7949.000419404446
Podgórze,Kraków,1.0,559000.0,3.0,53.84,2021.0,10382.61515601783
Bieżanów-Prokocim,Kraków,1.0,195000.0,1.0,25.9,1975.0,7528.95752895753
Podgórze,Kraków,5.0,475000.0,3.0,57.99,2021.0,8191.067425418175
Nowa Huta,Kraków,4.0,353600.0,1.0,27.2,2022.0,13000.0
Podgórze Duchackie,Kraków,2.0,465000.0,3.0,62.0,1984.0,7500.0
Bieńczyce,Kraków,1.0,645000.0,3.0,70.0,2019.0,9214.285714285714
Prądnik Czerwony,Kraków,2.0,495000.0,2.0,59.0,2008.0,8389.830508474577
Nowa Huta,Kraków,2.0,597229.5,4.0,74.19,2021.0,8050.0
Stare Miasto,Kraków,5.0,380000.0,2.0,33.36,1920.0,11390.887290167866
Prądnik Czerwony,Kraków,2.0,515000.0,3.0,53.0,1980.0,9716.981132075472
Krowodrza,Kraków,3.0,845000.0,4.0,65.0,1970.0,13000.0
Prądnik Biały,Kraków,1.0,503885.0,3.0,62.16,2021.0,8106.258043758045
Prądnik Czerwony,Kraków,1.0,530000.0,3.0,64.0,1996.0,8281.25
Stare Miasto,Kraków,3.0,1096338.0,3.0,92.91,1930.0,11800.0
Grzegórzki,Kraków,2.0,885472.0,3.0,75.04,2021.0,11799.999999999998
Nowa Huta,Kraków,3.0,359000.0,2.0,44.0,1957.0,8159.090909090909
Grzegórzki,Kraków,2.0,991760.0,3.0,86.24,2020.0,11500.0
Bronowice,Kraków,3.0,405000.0,2.0,37.0,2021.0,10945.945945945949
Mistrzejowice,Kraków,6.0,712166.0,4.0,82.81,2020.0,8600.0
Prądnik Biały,Kraków,4.0,969000.0,4.0,104.0,2020.0,9317.307692307691
Podgórze Duchackie,Kraków,2.0,418000.0,2.0,44.0,2021.0,9500.0
Dębniki,Kraków,1.0,355000.0,3.0,45.5,2020.0,7802.197802197802
Dębniki,Kraków,1.0,412000.0,2.0,53.0,2001.0,7773.584905660377
Prądnik Czerwony,Kraków,1.0,468000.0,3.0,52.5,1980.0,8914.285714285714
Prądnik Biały,Kraków,2.0,616920.0,3.0,58.2,2020.0,10600.0
Bronowice,Kraków,2.0,394020.0,2.0,43.78,2022.0,9000.0
Podgórze Duchackie,Kraków,1.0,519000.0,3.0,62.45,2021.0,8310.648518815051
Grzegórzki,Kraków,4.0,910815.0,3.0,74.05,2021.0,12300.0
Nowa Huta,Kraków,2.0,415975.0,2.0,47.54,2022.0,8750.0
Podgórze Duchackie,Kraków,3.0,500000.0,3.0,62.0,1983.0,8064.516129032258
Podgórze,Kraków,0.0,620000.0,3.0,64.0,1890.0,9687.5
Bronowice,Kraków,5.0,480000.0,3.0,45.0,1970.0,10666.666666666666
Podgórze Duchackie,Kraków,4.0,479000.0,3.0,55.2,2021.0,8677.536231884058
Dębniki,Kraków,3.0,399000.0,2.0,40.76,2013.0,9789.00883218842
Krowodrza,Kraków,1.0,750000.0,3.0,70.0,2005.0,10714.285714285714
Podgórze Duchackie,Kraków,1.0,449000.0,3.0,55.0,2012.0,8163.636363636364
Łagiewniki-Borek Fałęcki,Kraków,4.0,479000.0,2.0,51.2,2020.0,9355.46875
Podgórze,Kraków,5.0,359000.0,2.0,38.86,2021.0,9238.29130211014
Zwierzyniec,Kraków,1.0,599000.0,4.0,80.02,2021.0,7485.628592851787
Bronowice,Kraków,6.0,399000.0,2.0,36.7,2021.0,10871.93460490463
Nowa Huta,Kraków,1.0,990000.0,2.0,75.0,1937.0,13200.0
Krowodrza,Kraków,0.0,599850.0,3.0,46.5,2021.0,12900.0
Krowodrza,Kraków,8.0,490000.0,3.0,47.9,1974.0,10229.64509394572
Bieżanów-Prokocim,Kraków,3.0,419000.0,2.0,45.59,2020.0,9190.611976310594
Zwierzyniec,Kraków,2.0,1100000.0,5.0,131.36,2020.0,8373.934226552983
Dębniki,Kraków,0.0,379000.0,1.0,35.43,2021.0,10697.149308495626
Podgórze,Kraków,4.0,729000.0,3.0,71.73,2021.0,10163.11166875784
Podgórze,Kraków,0.0,510000.0,2.0,51.16,1960.0,9968.725566849102
Prądnik Biały,Kraków,0.0,430000.0,2.0,39.0,2017.0,11025.641025641024
Prądnik Czerwony,Kraków,1.0,423000.0,2.0,44.73,2021.0,9456.740442655935
Nowa Huta,Kraków,1.0,375000.0,2.0,48.0,1957.0,7812.5
Mistrzejowice,Kraków,4.0,575000.0,3.0,70.5,1994.0,8156.0283687943265
Nowa Huta,Kraków,1.0,589000.0,4.0,76.22,1990.0,7727.630543164524
Podgórze,Kraków,3.0,709000.0,3.0,69.67,2021.0,10176.546576718816
Grzegórzki,Kraków,2.0,1003557.0,3.0,81.59,2021.0,12300.0
Prądnik Biały,Kraków,3.0,360000.0,2.0,37.5,1970.0,9600.0
Podgórze,Kraków,1.0,621800.0,3.0,62.0,2021.0,10029.032258064515
Prądnik Czerwony,Kraków,1.0,499000.0,2.0,58.0,2020.0,8603.448275862069
Dębniki,Kraków,2.0,850000.0,3.0,64.0,2008.0,13281.25
Podgórze Duchackie,Kraków,3.0,754600.0,3.0,77.0,1885.0,9800.0
Stare Miasto,Kraków,7.0,834784.0,4.0,109.84,2020.0,7600.0
Mistrzejowice,Kraków,1.0,530000.0,3.0,48.5,2020.0,10927.835051546392
Nowa Huta,Kraków,1.0,699017.0,3.0,57.77,2022.0,12100.0
Nowa Huta,Kraków,1.0,1512720.0,5.0,132.09,2020.0,11452.191687485803
Prądnik Czerwony,Kraków,1.0,468000.0,3.0,52.5,1980.0,8914.285714285714
Prądnik Biały,Kraków,2.0,569000.0,3.0,53.0,2016.0,10735.849056603774
Podgórze,Kraków,1.0,621800.0,3.0,62.18,2021.0,10000.0
Bieżanów-Prokocim,Kraków,2.0,415000.0,2.0,48.0,1995.0,8645.833333333334
Dębniki,Kraków,5.0,680000.0,3.0,66.0,2005.0,10303.030303030304
Stare Miasto,Kraków,2.0,715000.0,2.0,57.0,2010.0,12543.859649122807
Nowa Huta,Kraków,4.0,568765.0,3.0,59.87,2022.0,9500.0
Nowa Huta,Kraków,2.0,690000.0,3.0,68.0,1982.0,10147.058823529413
Bronowice,Kraków,2.0,653838.0,2.0,55.41,2022.0,11800.0
Prądnik Biały,Kraków,4.0,475000.0,3.0,46.5,1970.0,10215.05376344086
Podgórze Duchackie,Kraków,8.0,449000.0,2.0,46.7,2021.0,9614.56102783726
Dębniki,Kraków,0.0,489000.0,2.0,43.9,2021.0,11138.952164009112
Nowa Huta,Kraków,0.0,699000.0,3.0,64.89,2021.0,10772.07582061951
