address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,4.0,50.0478769,19.961368688357496,649000.0,3.0,61.11,2021.0,10620.1930944199
Krowodrza,Kraków,3.0,50.0721983,19.9064101,585000.0,2.0,53.95,1960.0,10843.373493975903
Prądnik Czerwony,Kraków,5.0,50.0878647,19.9683977,649000.0,2.0,55.21,2020.0,11755.116826661835
Mistrzejowice,Kraków,2.0,50.0986433,20.0132206,497420.0,4.0,65.45,2022.0,7600.0
Prądnik Biały,Kraków,5.0,50.1015333,19.9640995,968688.0,4.0,104.16,2021.0,9300.0
Bieżanów-Prokocim,Kraków,1.0,50.0102971,20.00857,435744.0,2.0,48.96,2021.0,8900.0
Dębniki,Kraków,0.0,50.0179578,19.8790929,630000.0,4.0,75.0,2022.0,8400.0
Prądnik Biały,Kraków,0.0,50.1035684,19.9536031063012,442000.0,3.0,48.5,1990.0,9113.40206185567
Grzegórzki,Kraków,3.0,50.0587985,19.9758208,495000.0,3.0,50.0,1964.0,9900.0
Wzgórza Krzesławickie,Kraków,0.0,50.1047809,20.0362743,197028.0,1.0,25.26,2022.0,7799.999999999999
Podgórze,Kraków,3.0,50.0361989,20.000282,1150000.0,4.0,86.0,2018.0,13372.093023255817
Prądnik Czerwony,Kraków,0.0,50.0746426,19.9827054,480000.0,2.0,49.1,1962.0,9775.967413441957
Stare Miasto,Kraków,4.0,50.0590398,19.93716829792899,777000.0,3.0,60.74,2008.0,12792.229173526506
Podgórze Duchackie,Kraków,4.0,50.0146222,19.953758,445993.87,2.0,43.91,2021.0,10157.0
Dębniki,Kraków,1.0,50.0206194,19.9145455,510000.0,3.0,59.8,2010.0,8528.428093645485
Bronowice,Kraków,0.0,50.0833247,19.869783648014888,568000.0,3.0,71.92,2022.0,7897.664071190211
Nowa Huta,Kraków,4.0,50.0469432,19.997153435836697,586150.0,3.0,61.7,2022.0,9500.0
Mistrzejowice,Kraków,1.0,50.1012069,20.017364300393496,699000.0,4.0,72.31,2020.0,9666.71276448624
Mistrzejowice,Kraków,0.0,50.0986433,20.0132206,398320.0,2.0,49.79,2022.0,8000.0
Krowodrza,Kraków,2.0,50.07087985,19.91656311814478,1050000.0,4.0,81.0,1939.0,12962.962962962964
Grzegórzki,Kraków,1.0,50.06772015,19.99154900943178,623000.0,3.0,63.28,2021.0,9845.132743362832
Nowa Huta,Kraków,1.0,50.0469432,19.997153435836697,459700.0,2.0,45.97,2022.0,10000.0
Nowa Huta,Kraków,2.0,50.0558029,19.9993305,553755.0,3.0,63.65,2022.0,8700.0
Nowa Huta,Kraków,2.0,50.0469432,19.997153435836697,535000.0,1.0,53.0,2000.0,10094.33962264151
Dębniki,Kraków,2.0,50.0204807,19.8980137,425000.0,2.0,48.4,2006.0,8780.99173553719
Mistrzejowice,Kraków,9.0,50.0986433,20.0132206,431910.0,3.0,47.99,2020.0,9000.0
Podgórze,Kraków,1.0,50.0435196,20.0712999,460000.0,2.0,38.0,2015.0,12105.263157894737
Stare Miasto,Kraków,4.0,50.0619474,19.9368564,529000.0,3.0,62.45,2021.0,8470.776621297036
Grzegórzki,Kraków,3.0,50.06772015,19.99154900943178,844658.0,4.0,78.94,2021.0,10700.0
Mistrzejowice,Kraków,8.0,50.09497745,19.996209027640845,576000.0,4.0,71.59,1991.0,8045.816454812124
Dębniki,Kraków,2.0,50.00969645000001,19.90590180362617,630000.0,3.0,64.0,2020.0,9843.75
Prądnik Biały,Kraków,4.0,50.1015333,19.9640995,968502.0,5.0,104.14,2020.0,9300.0
Prądnik Biały,Kraków,0.0,50.0960701,19.9318655,442000.0,3.0,48.0,1980.0,9208.333333333334
Nowa Huta,Kraków,1.0,50.0771546,20.0393941,255000.0,1.0,20.37,1970.0,12518.40942562592
Podgórze,Kraków,4.0,50.0478769,19.961368688357496,429000.0,2.0,34.73,2021.0,12352.43305499568
Mistrzejowice,Kraków,3.0,50.0986433,20.0132206,635000.0,3.0,63.51,2020.0,9998.42544481184
Podgórze Duchackie,Kraków,5.0,50.0146222,19.953758,430636.8,2.0,40.78,2021.0,10560.0
Mistrzejowice,Kraków,4.0,50.0986433,20.0132206,478629.0,3.0,59.09,2022.0,8099.999999999999
Krowodrza,Kraków,4.0,50.07562685,19.9287277539394,889497.0,3.0,66.42,2020.0,13392.0054200542
Mistrzejowice,Kraków,0.0,50.0986433,20.0132206,512694.0,4.0,65.73,2020.0,7799.999999999999
Prądnik Biały,Kraków,10.0,50.1035684,19.9536031063012,390000.0,3.0,45.5,1983.0,8571.42857142857
Bronowice,Kraków,5.0,50.0778251,19.90068098696576,480000.0,3.0,45.0,1974.0,10666.666666666666
Zwierzyniec,Kraków,0.0,50.0462733,19.8721668,458000.0,2.0,51.48,2021.0,8896.658896658897
Prądnik Biały,Kraków,3.0,50.1015333,19.9640995,399000.0,2.0,40.71,2021.0,9801.031687546058
Grzegórzki,Kraków,2.0,50.0603359,19.9623163,629000.0,2.0,47.13,2009.0,13346.0640780819
Grzegórzki,Kraków,2.0,50.0589305,19.9762323,660000.0,3.0,70.0,1965.0,9428.57142857143
Bronowice,Kraków,8.0,50.0788285,19.8942504,475000.0,2.0,40.88,2021.0,11619.373776908024
Nowa Huta,Kraków,0.0,50.0647613,20.0099164,375700.0,2.0,44.0,2022.0,8538.636363636364
Zwierzyniec,Kraków,2.0,50.0550023,19.908853,915000.0,4.0,92.0,2019.0,9945.652173913044
Stare Miasto,Kraków,4.0,50.059063,19.9457319,490000.0,2.0,41.5,1910.0,11807.22891566265
Krowodrza,Kraków,4.0,50.0782971,19.9236467,335000.0,1.0,29.45,1930.0,11375.212224108658
Krowodrza,Kraków,0.0,50.0947269,19.9247728,280000.0,1.0,25.51,2021.0,10976.087808702468
Nowa Huta,Kraków,1.0,50.0816349,20.016490706002102,358000.0,1.0,34.0,2015.0,10529.411764705885
Grzegórzki,Kraków,3.0,50.0589305,19.9762323,495000.0,3.0,50.0,1968.0,9900.0
Krowodrza,Kraków,3.0,50.08492885,19.931430599115654,599000.0,4.0,64.0,1970.0,9359.375
Podgórze,Kraków,3.0,50.0387673,19.9403193,435000.0,2.0,52.67,1952.0,8258.97095120562
Łagiewniki-Borek Fałęcki,Kraków,3.0,50.014117,19.9179187,647000.0,3.0,67.0,2020.0,9656.716417910447
Bieńczyce,Kraków,0.0,50.06165525,19.93365859224709,360000.0,2.0,43.0,1970.0,8372.093023255815
Łagiewniki-Borek Fałęcki,Kraków,1.0,50.0199633,19.9294446,690000.0,3.0,63.0,2020.0,10952.380952380952
Mistrzejowice,Kraków,1.0,50.09742625,20.00960263225891,354351.0,2.0,40.73,2022.0,8700.0
Wzgórza Krzesławickie,Kraków,0.0,50.0984135,20.09201112156821,341500.0,2.0,34.2,2019.0,9985.380116959064
Grzegórzki,Kraków,3.0,50.0587885,19.9500605,464702.0,1.0,34.94,2020.0,13300.0
Mistrzejowice,Kraków,1.0,50.0986433,20.0132206,457725.0,3.0,61.03,2022.0,7500.0
Bieżanów-Prokocim,Kraków,1.0,50.0128958,20.0258584,538000.0,3.0,66.0,2005.0,8151.515151515152
Podgórze,Kraków,4.0,50.0345327,19.9754459,501000.0,3.0,56.74,2022.0,8829.749735636235
Podgórze,Kraków,2.0,50.0492242,19.9703793,469000.0,2.0,38.97,2021.0,12034.898639979472
Bieżanów-Prokocim,Kraków,2.0,50.0068653,20.0196406,438252.0,3.0,52.34,2021.0,8373.17539166985
Podgórze Duchackie,Kraków,2.0,50.0146222,19.953758,540594.0,3.0,66.74,2021.0,8100.000000000001
Krowodrza,Kraków,4.0,50.08492885,19.931430599115654,540000.0,5.0,67.0,1980.0,8059.701492537313
Podgórze Duchackie,Kraków,3.0,50.0197183,19.9709187,449000.0,3.0,53.0,1980.0,8471.698113207547
Nowa Huta,Kraków,3.0,50.0558029,19.9993305,341200.0,2.0,34.12,2022.0,10000.0
Stare Miasto,Kraków,1.0,50.0700397,19.9419902,1053910.0,3.0,87.1,1930.0,12100.0
Łagiewniki-Borek Fałęcki,Kraków,0.0,50.014117,19.9179187,899000.0,3.0,82.0,2019.0,10963.414634146342
Mistrzejowice,Kraków,1.0,50.0986433,20.0132206,450528.0,3.0,57.76,2022.0,7800.0
Grzegórzki,Kraków,4.0,50.058444,19.9702351,933939.0,3.0,75.93,2021.0,12299.999999999998
Nowa Huta,Kraków,2.0,50.0771546,20.0393941,249000.0,1.0,26.1,1954.0,9540.229885057472
Mistrzejowice,Kraków,2.0,50.09742625,20.00960263225891,399999.0,3.0,47.6,1974.0,8403.340336134454
Mistrzejowice,Kraków,2.0,50.0986433,20.0132206,478629.0,3.0,59.09,2022.0,8099.999999999999
Nowa Huta,Kraków,5.0,50.0741729,20.036048,415000.0,2.0,39.0,1960.0,10641.02564102564
Dębniki,Kraków,3.0,50.0204807,19.8980137,645000.0,3.0,68.0,2007.0,9485.29411764706
Podgórze,Kraków,1.0,50.0498929,19.9906026,475000.0,3.0,57.88,2021.0,8206.634416033172
Prądnik Biały,Kraków,3.0,50.0863097,19.9139884,520000.0,2.0,47.5,2013.0,10947.368421052632
Prądnik Czerwony,Kraków,4.0,50.0878647,19.9683977,350000.0,1.0,26.62,2012.0,13148.00901577761
Bieńczyce,Kraków,1.0,50.08605125,20.02922626218556,285000.0,2.0,36.0,1964.0,7916.666666666667
Grzegórzki,Kraków,0.0,50.06497215,19.968825516425383,265000.0,1.0,20.0,1970.0,13250.0
Podgórze,Kraków,1.0,50.0476566,19.9537741,880000.0,3.0,68.48,2016.0,12850.467289719623
Dębniki,Kraków,2.0,50.0520343,19.9269287,1290000.0,3.0,96.0,1905.0,13437.5
Nowa Huta,Kraków,3.0,50.0818649,20.0122791,655000.0,3.0,70.0,2019.0,9357.142857142857
Dębniki,Kraków,0.0,50.0076191,19.8888826,428000.0,2.0,52.64,2010.0,8130.699088145897
Nowa Huta,Kraków,3.0,50.0558029,19.9993305,436230.0,2.0,47.16,2022.0,9250.0
Nowa Huta,Kraków,4.0,50.0558029,19.9993305,372632.0,2.0,35.83,2022.0,10400.0
Podgórze Duchackie,Kraków,4.0,50.0288704,19.9568753,529000.0,3.0,60.0,2021.0,8816.666666666666
Podgórze,Kraków,3.0,50.0492242,19.9703793,469000.0,2.0,39.07,2021.0,12004.095213718963
Dębniki,Kraków,2.0,50.00969645000001,19.90590180362617,440000.0,2.0,46.54,2018.0,9454.23291792007
Podgórze,Kraków,4.0,50.0430999,19.9529614,385000.0,2.0,44.0,1970.0,8750.0
Prądnik Biały,Kraków,3.0,50.1015333,19.9640995,489491.0,3.0,60.65,2022.0,8070.750206100577
Grzegórzki,Kraków,4.0,50.058444,19.9702351,715780.0,3.0,55.06,2021.0,13000.0
Bieńczyce,Kraków,10.0,50.08605125,20.02922626218556,330000.0,2.0,37.95,1968.0,8695.652173913042
Prądnik Biały,Kraków,0.0,50.1021791,19.9559231,475176.0,4.0,60.92,2022.0,7800.0
Bieżanów-Prokocim,Kraków,3.0,50.0176748,20.0011197,406000.0,2.0,40.0,2014.0,10150.0
Podgórze,Kraków,2.0,50.0492242,19.9703793,749000.0,3.0,74.05,2021.0,10114.78730587441
Mistrzejowice,Kraków,5.0,50.0986433,20.0132206,336518.0,2.0,36.98,2021.0,9100.0
Łagiewniki-Borek Fałęcki,Kraków,0.0,50.0232502,19.9346479,899470.0,3.0,81.8,2018.0,10995.96577017115
Mistrzejowice,Kraków,5.0,50.0986433,20.0132206,354351.0,2.0,40.73,2022.0,8700.0
Prądnik Biały,Kraków,2.0,50.0949773,19.920405494289955,384842.0,2.0,39.88,2022.0,9650.0
Prądnik Biały,Kraków,1.0,50.0974858,19.9592694,339000.0,2.0,36.0,2020.0,9416.666666666666
Bronowice,Kraków,1.0,50.0849209,19.8909484,760000.0,4.0,70.0,2018.0,10857.142857142857
Nowa Huta,Kraków,0.0,50.0469432,19.997153435836697,443000.0,3.0,48.5,2008.0,9134.0206185567
Mistrzejowice,Kraków,3.0,50.09742625,20.00960263225891,572520.0,4.0,73.4,2020.0,7799.999999999999
Prądnik Biały,Kraków,2.0,50.1015333,19.9640995,681059.0,4.0,79.64,2021.0,8551.720241084882
Stare Miasto,Kraków,2.0,49.9730627,19.8323374,669000.0,2.0,58.94,2018.0,11350.52595860197
Prądnik Biały,Kraków,2.0,50.0969632,19.9652068,495000.0,2.0,60.0,2008.0,8250.0
Prądnik Czerwony,Kraków,5.0,50.0791121,19.949934073837213,379999.0,2.0,29.3,2020.0,12969.249146757678
Prądnik Biały,Kraków,3.0,50.0721122,19.909405,590000.0,2.0,52.0,1960.0,11346.153846153846
Stare Miasto,Kraków,4.0,50.2658017,19.785956,799000.0,3.0,69.0,1930.0,11579.710144927536
Bieżanów-Prokocim,Kraków,2.0,50.01706235,20.022991856015395,375000.0,2.0,40.85,2017.0,9179.926560587515
Nowa Huta,Kraków,1.0,50.080618650000005,20.12933219800524,370000.0,2.0,45.0,1956.0,8222.222222222223
Dębniki,Kraków,6.0,50.0518611,19.9270367,579000.0,2.0,46.35,2021.0,12491.909385113267
Dębniki,Kraków,3.0,50.0517401,19.9311178,795120.0,3.0,66.26,2015.0,11999.999999999998
Grzegórzki,Kraków,1.0,50.06497215,19.968825516425383,649990.0,3.0,50.0,2015.0,12999.8
Prądnik Biały,Kraków,1.0,50.0949773,19.920405494289955,478350.0,3.0,53.15,2022.0,9000.0
Prądnik Czerwony,Kraków,7.0,50.0770694,19.9803386,245000.0,1.0,19.86,1965.0,12336.354481369588
Prądnik Biały,Kraków,8.0,50.089965,19.90583066597115,330000.0,2.0,37.0,1970.0,8918.918918918918
Prądnik Biały,Kraków,4.0,50.0950503,19.9284425,475099.0,3.0,53.04,2020.0,8957.371794871795
Mistrzejowice,Kraków,0.0,50.09742625,20.00960263225891,434970.0,2.0,48.33,2020.0,9000.0
Stare Miasto,Kraków,1.0,49.9730627,19.8323374,440775.0,3.0,58.77,2020.0,7500.0
Nowa Huta,Kraków,4.0,50.0848747,20.0371374,400000.0,3.0,53.0,1980.0,7547.169811320755
Podgórze,Kraków,0.0,50.0205244,19.9601785,559000.0,3.0,62.66,2021.0,8921.161825726142
Prądnik Biały,Kraków,0.0,50.086051,19.9433075,550000.0,3.0,67.63,2005.0,8132.485583321012
Prądnik Czerwony,Kraków,8.0,50.0811975,19.95581,540000.0,3.0,60.0,1984.0,9000.0
Podgórze Duchackie,Kraków,3.0,50.0197558,19.9528554,543120.0,2.0,67.89,2020.0,8000.0
Nowa Huta,Kraków,3.0,50.0469432,19.997153435836697,1500000.0,4.0,134.0,1938.0,11194.029850746268
Mistrzejowice,Kraków,1.0,50.0986433,20.0132206,410184.0,3.0,50.64,2022.0,8100.0
Dębniki,Kraków,0.0,50.0518611,19.9270367,629000.0,2.0,48.13,2021.0,13068.772075628503
Nowa Huta,Kraków,2.0,50.0816349,20.016490706002102,441243.0,2.0,44.57,2018.0,9900.0
Prądnik Czerwony,Kraków,10.0,50.0884029,19.96545315306553,1350000.0,4.0,118.5,2008.0,11392.40506329114
