district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
Prądnik Biały,Kraków,1,769000.00,3,63.00,2023,12206.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-z-widokiem-na-zielen-tramwaj-ID4myIe
Podgórze Duchackie,Kraków,9,976464.00,3,67.81,2023,14400.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-balkon-bez-prowizji-ID4mz7N
Krowodrza,Kraków,4,950560.00,2,38.02,2023,25002.00,2024-07-04,https://www.otodom.pl/pl/oferta/lea-wykonczone-2-pokojowe-z-tarasem-15-20m2-ID4pY35
Podgórze,Kraków,1,1370000.00,2,48.21,2023,28417.00,2024-07-04,https://www.otodom.pl/pl/oferta/orawska-2-pokoje-nowe-bez-pcc-ID4mniv
Prądnik Biały,Kraków,1,849000.00,3,52.50,2023,16171.00,2024-07-04,https://www.otodom.pl/pl/oferta/sloneczne-3-pokoje-z-jasna-kuchnia-ID4mi4W
Prądnik Czerwony,Kraków,3,819000.00,2,40.97,2023,19990.00,2024-07-04,https://www.otodom.pl/pl/oferta/mlyny-mogilska-2-pokoje-widokowe-ID4m9oV
Prądnik Czerwony,Kraków,0,804000.00,2,40.19,2023,20005.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-w-inwestycji-mlyny-mogilska-ID4m9oU
Podgórze Duchackie,Kraków,8,966823.00,3,67.57,2023,14308.00,2024-07-04,https://www.otodom.pl/pl/oferta/podgorze-duchackie-gotowe-do-odbioru-3-pokoje-ID4m8bf
Bronowice,Kraków,0,1270748.00,3,69.63,2023,18250.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-w-zielonej-okolicy-blonia-ID4m1zS
Podgórze Duchackie,Kraków,3,912696.00,3,66.86,2023,13651.00,2024-07-04,https://www.otodom.pl/pl/oferta/wola-duchacka-3-pok-mieszkanie-blisko-tramwaj-ID4lYL4
Bieżanów-Prokocim,Kraków,2,634620.00,2,45.33,2023,14000.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieczyslawy-cwiklinskiej-biezanow-eng-ua-new-ID4lQrE
Bronowice,Kraków,1,1049700.00,3,61.03,2023,17200.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pok-61-03-m2-wola-justowska-ul-na-blonie-ID4lPEo
Zwierzyniec,Kraków,0,2041375.00,4,116.08,2023,17586.00,2024-07-04,https://www.otodom.pl/pl/oferta/luksusowy-dom-taras-piekny-widok-wola-justowska-ID4lNoC
Bronowice,Kraków,1,794022.00,2,44.81,2023,17720.00,2024-07-04,https://www.otodom.pl/pl/oferta/komfort-i-wygoda-w-jednym-miejscu-bliskosc-blon-ID4lKlJ
Zwierzyniec,Kraków,0,2184175.00,4,124.45,2023,17551.00,2024-07-04,https://www.otodom.pl/pl/oferta/ekskluzywny-dom-garaz-prestizowa-dzielnica-ID4lIz2
Zwierzyniec,Kraków,0,2024464.00,4,124.45,2023,16267.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowy-luksusowy-blizniak-duzy-taras-promocja-ID4lIz1
Bronowice,Kraków,2,1566720.00,3,81.60,2023,19200.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-blisko-blon-zielona-okolica-ID4lIyT
Czyżyny,Kraków,3,813000.00,3,43.06,2023,18881.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-w-nowej-inwestycji-z-2023-roku-ID4lGTg
Podgórze,Kraków,1,994345.00,3,55.55,2023,17900.00,2024-07-04,https://www.otodom.pl/pl/oferta/wyjatkowy-55m2-apartament-i-saska-blu-ID4lGg0
Krowodrza,Kraków,1,1402144.00,3,81.47,2023,17211.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pok-81-m2-w-nowej-kameralnej-inwestycji-ID4lFqK
Krowodrza,Kraków,0,1236160.00,3,77.26,2023,16000.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pok-77-m2-z-ogrodkiem-w-kameralnej-inwestycji-ID4lFp7
Krowodrza,Kraków,0,1143408.00,3,68.04,2023,16805.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pok-z-ogrodkiem-w-kameralnej-inwestycji-ID4lFnz
Bronowice,Kraków,2,2223640.00,4,96.68,2023,23000.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-w-zielonej-okolicy-1-km-do-blon-ID4lFj6
Krowodrza,Kraków,0,936904.00,2,56.44,2023,16600.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pok-50-m2-w-kameralnej-inwestycji-ID4lENq
Podgórze Duchackie,Kraków,6,1250000.00,4,84.33,2023,14823.00,2024-07-04,https://www.otodom.pl/pl/oferta/duze-rodzinne-mieszkanie-4-pokoje-2-balkony-ID4lE5M
Podgórze Duchackie,Kraków,2,929000.00,4,68.79,2023,13505.00,2024-07-04,https://www.otodom.pl/pl/oferta/duze-rodzinne-mieszkanie-3-sypialnie-ID4lE5L
Czyżyny,Kraków,0,686983.00,2,33.00,2023,20818.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-w-nowej-inwestycji-ID4lDgo
Prądnik Czerwony,Kraków,4,378544.00,1,16.04,2023,23600.00,2024-07-04,https://www.otodom.pl/pl/oferta/mikroapartament-ul-klemensiewicza-16-04-m2-ID4lhf2
Prądnik Czerwony,Kraków,0,362468.00,1,15.34,2023,23629.00,2024-07-04,https://www.otodom.pl/pl/oferta/kawalerka-ul-klemensiewicza-15-51-m2-ogrod-ID4lhf1
Zwierzyniec,Kraków,0,2041375.00,4,116.65,2023,17500.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-na-woli-justowskiej-ID4laMw
Bronowice,Kraków,0,1270748.00,3,69.87,2023,18187.00,2024-07-04,https://www.otodom.pl/pl/oferta/kameralna-inwestycja-w-centrum-miasta-3-pokoje-ID4l0R9
Bronowice,Kraków,0,1106158.00,6,98.87,2023,11188.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-poziomy-z-funkcjonalnym-rozkladem-cicha-okolica-ID4kRHC
Krowodrza,Kraków,3,695000.00,2,38.00,2023,18289.00,2024-07-04,https://www.otodom.pl/pl/oferta/krowodrza-2-pokoje-balkon-budynek-2023r-ID4jUbf
Podgórze Duchackie,Kraków,1,1179000.00,4,81.87,2023,14401.00,2024-07-04,https://www.otodom.pl/pl/oferta/przestronne-klucze-na-juz-nowoczesna-inwestycja-ID4jqeb
Bronowice,Kraków,1,690400.00,2,41.84,2023,16501.00,2024-07-04,https://www.otodom.pl/pl/oferta/0-prowizji-2-pokoje-41-84m2-ul-na-blonie-ID4iY6f
Podgórze Duchackie,Kraków,9,976464.00,3,67.56,2023,14453.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokoje-blisko-tramwaju-podgorze-duchackie-ID4iTM7
Zwierzyniec,Kraków,1,1550064.00,4,90.12,2023,17200.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-balkonem-bronowice-ID4hUVk
Zwierzyniec,Kraków,0,2186975.00,4,124.45,2023,17573.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-ogrodem-bronowice-ID4hUOG
Dębniki,Kraków,1,876148.00,2,96.28,2023,9100.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-arka-nova-ID4hNUh
Zwierzyniec,Kraków,0,2177875.00,4,124.45,2023,17500.00,2024-07-04,https://www.otodom.pl/pl/oferta/wola-justowska-nova-wiosenna-124-45m2-bez-prowizji-ID4hkUH
Prądnik Czerwony,Kraków,7,1023929.73,4,88.12,2023,11620.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-grzegorzkach-ID4fiZK
Grzegórzki,Kraków,9,1432158.99,4,120.97,2023,11839.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-9-pietro-ul-sliczna-ID4fiZA
Prądnik Czerwony,Kraków,10,901207.94,3,67.48,2023,13355.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-na-10-pietrze-ID4eHMd
Włochy,Warszawa,0,1150000.00,4,78.72,2008,14609.00,2024-07-04,https://www.otodom.pl/pl/oferta/rodzinne-4-pokojowe-mieszkanie-z-duzym-tarasem-ID4qOXN
Prądnik Biały,Kraków,1,765890.00,3,55.10,2024,13900.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-2-balkony-ID4lGhV
Prądnik Czerwony,Kraków,3,1491000.00,3,68.94,2024,21628.00,2024-07-04,https://www.otodom.pl/pl/oferta/twoje-mieszkanie-marzen-w-swietnej-lokalizacji-ID4rp3D
Grzegórzki,Kraków,3,799000.00,2,33.10,2024,24139.00,2024-07-04,https://www.otodom.pl/pl/oferta/blisko-centrum-piekne-mieszkanie-sprawdz-ID4rp3E
Prądnik Czerwony,Kraków,1,699127.00,1,29.07,2024,24050.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-blisko-tramwaj-zobacz-ID4rp3B
Podgórze,Kraków,1,1213000.00,4,67.00,2024,18104.00,2024-07-04,https://www.otodom.pl/pl/oferta/okazja-piekne-mieszkanie-blisko-tramwaju-ID4rp3A
Prądnik Biały,Kraków,4,799000.00,3,54.00,2024,14796.00,2024-07-04,https://www.otodom.pl/pl/oferta/tramwaj-w-okolicy-prywatny-park-ID4rp1y
Prądnik Biały,Kraków,0,699000.00,2,39.00,2024,17923.00,2024-07-04,https://www.otodom.pl/pl/oferta/najtansze-w-inwestycji-klima-w-cenie-ID4rp1x
Prądnik Biały,Kraków,3,938000.00,3,55.00,2024,17055.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-umow-spotkanie-ID4rp1v
Prądnik Biały,Kraków,4,570000.00,2,37.00,2024,15405.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokoje-krowodrza-gotowe-parking-widokowe-ID4qBmD
Podgórze Duchackie,Kraków,5,1019000.00,4,69.03,2024,14762.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-park-bonarka-0-prowizji-ID4rp0j
Prądnik Biały,Kraków,0,944328.00,4,71.54,2024,13200.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowe-4-pokoje-garaz-kameralnie-zielono-1hapark-ID4roZY
Prądnik Biały,Kraków,0,1165000.00,3,54.13,2024,21522.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-ogrodek-bez-prowizji-ID4qOCp
Prądnik Czerwony,Kraków,9,3046780.00,4,138.49,2024,22000.00,2024-07-04,https://www.otodom.pl/pl/oferta/duzy-apartament-z-panorama-krakowa-taras-79-m-ID4qulZ
Podgórze,Kraków,0,720954.00,2,42.66,2024,16900.00,2024-07-04,https://www.otodom.pl/pl/oferta/promocja-2-pokoje-42-66-m-ogrodek-ID4roUQ
Mistrzejowice,Kraków,0,601715.00,2,49.75,2024,12095.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-ogrodek-bezposrednio-ID4mW10
Podgórze,Kraków,2,1046374.00,5,103.69,2024,10091.00,2024-07-04,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-103m2-3-balkony-ID4iOH7
Prądnik Biały,Kraków,1,979910.00,4,72.91,2024,13440.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-balkon-bezposrednio-ID4mzc3
Podgórze,Kraków,0,1299000.00,6,123.85,2024,10488.00,2024-07-04,https://www.otodom.pl/pl/oferta/aleja-debowa-2-etap-124m2-6-pokoi-gotowe-w-2024-ID4nG6F
Podgórze,Kraków,1,1080000.00,3,64.00,2024,16875.00,2024-07-04,https://www.otodom.pl/pl/oferta/premium-bezpieczny-pcc-gotowy-2x-lazienki-nowy-ID4roOw
Prądnik Biały,Kraków,6,850000.00,2,43.78,2024,19415.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowa-inwestycja-2-pokoje-400-m-tramwaj-garaz-ID4roOs
Prądnik Biały,Kraków,6,854000.00,2,43.79,2024,19502.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-6-pietro-klimatyzacja-garaz-podziemny-ID4roOr
Podgórze,Kraków,1,1145820.00,4,67.80,2024,16900.00,2024-07-04,https://www.otodom.pl/pl/oferta/promocja-m4-68-m2-z-balkonem-zablocie-na-juz-ID4roOq
Prądnik Biały,Kraków,2,650000.00,2,42.50,2024,15294.00,2024-07-04,https://www.otodom.pl/pl/oferta/slow-city-gotowe-2-pokoje-piaszczysta-ID4qtWZ
Grzegórzki,Kraków,1,1429000.00,3,61.00,2024,23426.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowy-apartament-premium-gotowy-bez-pcc-bezpieczny-ID4qexc
Podgórze,Kraków,3,1350000.00,4,76.00,2024,17763.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowy-apartament-premium-bezpieczny-pcc-gotowy-ID4qmkj
Zwierzyniec,Kraków,0,1225000.00,5,103.00,2024,11893.00,2024-07-04,https://www.otodom.pl/pl/oferta/olszanica-zwierzyniec-nowe-apartamenty-z-ogrodkiem-ID4n3v4
Zwierzyniec,Kraków,0,1287500.00,4,94.68,2024,13598.00,2024-07-04,https://www.otodom.pl/pl/oferta/segment-z-ogrodem-wola-justowska-odbior-w-2024-ID4r1Su
Grzegórzki,Kraków,2,1429270.78,3,60.82,2024,23500.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowoczesny-3-pok-apartament-w-standardzie-premium-ID4rbcU
Prądnik Biały,Kraków,1,820700.00,3,55.00,2024,14922.00,2024-07-04,https://www.otodom.pl/pl/oferta/okazja-3-pokoje-pradnik-bialy-ID4mALD
Podgórze,Kraków,0,1571286.24,4,78.89,2024,19917.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-ogrodkiem-127-m2-ID4rom6
Podgórze,Kraków,1,605152.04,1,26.24,2024,23062.00,2024-07-04,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-na-zablociu-ID4rom5
Podgórze,Kraków,1,801178.00,2,37.85,2024,21167.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-zablociu-ID4rom1
Podgórze,Kraków,1,1029470.13,3,53.70,2024,19171.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-zablociu-ID4rom2
Bieżanów-Prokocim,Kraków,0,639000.00,2,44.68,2024,14302.00,2024-07-04,https://www.otodom.pl/pl/oferta/sprzedam-nowe-wykonczone-mieszkanie-ID4pTXn
Grzegórzki,Kraków,2,695045.00,1,37.57,2024,18500.00,2024-07-04,https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-37m2-balkon-ID4lfZG
Zwierzyniec,Kraków,1,1750000.00,3,72.00,2024,24306.00,2024-07-04,https://www.otodom.pl/pl/oferta/jasny-gotowy-apartament-na-woli-ID4rp5Z
Podgórze Duchackie,Kraków,0,702018.00,3,54.42,2024,12900.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowa-nizsza-cena-ID4roIK
Podgórze,Kraków,6,699000.00,3,49.00,2024,14265.00,2024-07-04,https://www.otodom.pl/pl/oferta/do-odbioru-w-tym-roku-piekne-mieszkanie-okazja-ID4roi8
Prądnik Biały,Kraków,1,1250000.00,3,82.31,2024,15186.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-82-31-m-krakow-ID4robQ
Prądnik Biały,Kraków,0,850000.00,3,56.72,2024,14986.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-56-72-m-krakow-ID4robS
Prądnik Biały,Kraków,1,810000.00,3,56.50,2024,14336.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokoje-z-tarasem-bronowice-gotowe-ID4qMyy
Podgórze,Kraków,1,759000.00,2,42.81,2024,17730.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-ocean-zablocie-gotowy-ID4qTa1
Prądnik Czerwony,Kraków,2,991783.00,2,33.17,2024,29900.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-mlyny-mogilska-od-wlasciciela-ID4qDEe
Prądnik Czerwony,Kraków,4,2854600.00,4,101.95,2024,28000.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-101-95-m-krakow-ID4qxUi
Dębniki,Kraków,0,800000.00,6,110.13,2024,7264.00,2024-07-04,https://www.otodom.pl/pl/oferta/sidzina-6-pokoi-ogrod-ID4qsQG
Podgórze,Kraków,5,569000.00,2,36.00,2024,15806.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-2-pok-prywatnie-bez-pcc-platnosc-20-80-ID4r3T5
Krowodrza,Kraków,2,929000.00,3,52.55,2024,17678.00,2024-07-04,https://www.otodom.pl/pl/oferta/moderno-lobzow-mieszkanie-3-pok-56-ID4pPZS
Mokotów,Warszawa,10,965000.00,2,47.00,2008,20532.00,2024-07-04,https://www.otodom.pl/pl/oferta/mokotow-2-pokoje-47-m2-ul-pory-bezposrednio-ID4qXQ1
Prądnik Biały,Kraków,2,771400.00,3,55.10,2024,14000.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-2-balkony-ID4lGi0
Łagiewniki-Borek Fałęcki,Kraków,0,799500.00,2,115.42,2024,6927.00,2024-07-04,https://www.otodom.pl/pl/oferta/ostani-gotowy-do-uzytkowania-z-widokiem-na-gory-ID4qb58
Prądnik Biały,Kraków,1,989000.00,3,61.00,2024,16213.00,2024-07-04,https://www.otodom.pl/pl/oferta/twoje-mieszkanie-blisko-centrum-gotowe-ID4ro10
Podgórze,Kraków,3,689710.00,2,41.30,2024,16700.00,2024-07-04,https://www.otodom.pl/pl/oferta/plaszow-bez-prowizji-prosto-od-dewelopera-ID4qGbx
Prądnik Biały,Kraków,2,926093.00,4,64.67,2024,14320.00,2024-07-04,https://www.otodom.pl/pl/oferta/glogera-32-mieszkanie-4-pok-m16-ID4nno2
Krowodrza,Kraków,0,744000.00,2,43.91,2024,16944.00,2024-07-04,https://www.otodom.pl/pl/oferta/moderno-lobzow-mieszkanie-2-pok-42-ID4pPZX
Krowodrza,Kraków,0,957500.00,4,57.57,2024,16632.00,2024-07-04,https://www.otodom.pl/pl/oferta/cztery-pokoje-z-ogrodkiem-stare-podgorze-ID4rery
Bieżanów-Prokocim,Kraków,2,826832.00,3,66.68,2024,12400.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-krakow-biezanow-prokocim-ID4rnVq
Mistrzejowice,Kraków,1,699999.00,2,38.00,2024,18421.00,2024-07-04,https://www.otodom.pl/pl/oferta/swiezo-wykonczone-mieszkanie-2-pokoje-38m2-ID4r3Jm
Krowodrza,Kraków,3,895000.00,2,44.00,2024,20341.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-44m2-2-pokoje-balkon-m-p-wykonczone-bez-pcc-ID4qSW9
Zwierzyniec,Kraków,0,1150000.00,4,72.00,2024,15972.00,2024-07-04,https://www.otodom.pl/pl/oferta/gotowy-apartament-z-ogrodem-200m2-wola-justowska-ID4q2tB
Prądnik Biały,Kraków,0,679999.00,2,41.00,2024,16585.00,2024-07-04,https://www.otodom.pl/pl/oferta/wkrotce-oddanie-blisko-tramwaj-ID4rnLD
Podgórze,Kraków,6,719000.00,3,49.00,2024,14673.00,2024-07-04,https://www.otodom.pl/pl/oferta/zielona-okolica-wkrotce-oddanie-ID4rnLB
Prądnik Biały,Kraków,7,535500.00,1,31.75,2024,16866.00,2024-07-04,https://www.otodom.pl/pl/oferta/bez-prowizji-pachonskiego-okazja-ID4ql9T
Prądnik Biały,Kraków,7,535500.00,1,31.75,2024,16866.00,2024-07-04,https://www.otodom.pl/pl/oferta/bez-prowizji-pachonskiego-okazja-ID4qkQq
Dębniki,Kraków,0,879000.00,4,114.11,2024,7703.00,2024-07-04,https://www.otodom.pl/pl/oferta/srodkowy-segment-debniki-ID4qVgS
Podgórze,Kraków,1,889000.00,3,49.00,2024,18143.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-budownictwo-3-pokoje-po-remoncie-ID4r13P
Prądnik Biały,Kraków,6,1149000.00,3,58.00,2024,19810.00,2024-07-04,https://www.otodom.pl/pl/oferta/taras-17m2-na-6-pietrze-nowe-budownictwo-3pokoje-ID4r133
Podgórze,Kraków,1,1599000.00,4,79.00,2024,20241.00,2024-07-04,https://www.otodom.pl/pl/oferta/ostatnie-mieszkanie-4-pokojowe-balkon-zablocie-ID4rnCv
Zwierzyniec,Kraków,0,3783300.00,4,126.11,2024,30000.00,2024-07-04,https://www.otodom.pl/pl/oferta/the-emaus-apartament-z-ogrodkiem-4-pokoje-ID4jBTy
Zwierzyniec,Kraków,1,4867800.00,5,139.08,2024,35000.00,2024-07-04,https://www.otodom.pl/pl/oferta/the-emaus-apartament-z-tarasem-5-pokoi-ID4jC4d
Podgórze,Kraków,4,799600.00,3,58.50,2024,13668.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-3-pok-prywatnie-bez-pcc-platnosc-20-80-ID4r3lb
Prądnik Biały,Kraków,0,965000.00,3,61.00,2024,15820.00,2024-07-04,https://www.otodom.pl/pl/oferta/oaza-spokoju-z-ogrodkiem-blisko-centrum-ID4rnvx
Bieżanów-Prokocim,Kraków,2,489000.00,2,40.15,2024,12179.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowa-inwestycja-gotowe-do-odbioru-2-pokoje-ID4rnuz
Prądnik Biały,Kraków,1,938000.00,3,55.46,2024,16913.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokoje-balkon-i-tylko-8-min-od-centrum-i-klima-ID4rnr1
Prądnik Biały,Kraków,0,705000.00,2,38.23,2024,18441.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-tylko-8-min-od-centrum-i-2-pokoje-ID4rnqZ
Podgórze,Kraków,2,1220800.00,4,67.65,2024,18046.00,2024-07-04,https://www.otodom.pl/pl/oferta/wygodne-prestizowe-wysoki-standard-na-start-ID4rnqz
Podgórze,Kraków,3,946086.00,2,41.68,2024,22699.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-dla-pary-lub-singla-zablocie-ID4rnlv
Podgórze,Kraków,2,1080000.00,3,67.00,2024,16119.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowy-bezpieczny-premium-pcc-gotowy-2x-lazienki-ID4qxle
Prądnik Biały,Kraków,3,935000.00,3,55.00,2024,17000.00,2024-07-04,https://www.otodom.pl/pl/oferta/do-odbioru-klima-gratis-super-lokalizacja-ID4rnhY
Prądnik Biały,Kraków,4,570000.00,2,36.75,2024,15510.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-balkon-bronowice-azory-ID4r7Pd
Prądnik Biały,Kraków,5,570000.00,2,36.75,2024,15510.00,2024-07-04,https://www.otodom.pl/pl/oferta/widokowe-2-pokoje-balkon-bronowice-azory-ID4r7Pe
Dębniki,Kraków,4,483000.00,1,28.47,2024,16965.00,2024-07-04,https://www.otodom.pl/pl/oferta/piltza-debniki-kawalerka-28m-gotowe-ID4qFnY
Bielany,Warszawa,1,2650000.00,3,82.78,2008,32013.00,2024-07-04,https://www.otodom.pl/pl/oferta/piekny-apartament-na-bielanach-zoliborzu-ID4op5t
Prądnik Biały,Kraków,1,697000.00,2,39.00,2024,17872.00,2024-07-04,https://www.otodom.pl/pl/oferta/oddane-do-uzytku-najtansze-w-inwestycji-klima-ID4rnhX
Prądnik Biały,Kraków,1,770000.00,2,43.00,2024,17907.00,2024-07-04,https://www.otodom.pl/pl/oferta/nowe-gotowe-blisko-centrum-ID4rnhZ
Bieżanów-Prokocim,Kraków,2,489000.00,2,40.30,2024,12134.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokoje-gotowe-do-odbioru-balkon-klima-ID4rnhl
Podgórze,Kraków,1,1213620.00,4,67.80,2024,17900.00,2024-07-04,https://www.otodom.pl/pl/oferta/english-version-ID4rnh4
Podgórze,Kraków,0,1145054.00,3,57.38,2024,19956.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkania-dla-inwestora-ID4rneG
Bieżanów-Prokocim,Kraków,1,1499000.00,3,118.34,2024,12667.00,2024-07-04,https://www.otodom.pl/pl/oferta/przestronny-apartament-w-inwestycji-villa-bermuda-ID4rneE
Grzegórzki,Kraków,6,3990000.00,4,146.62,2024,27213.00,2024-07-04,https://www.otodom.pl/pl/oferta/luksusowy-apartament-taras-50m2-gotowe-ID4oLbR
Podgórze,Kraków,2,700000.00,3,49.00,2024,14286.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokoje-plaszow-gotowe-w-x-24-ID4qZ3z
Podgórze,Kraków,2,550000.00,2,35.62,2024,15441.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokoje-gotowe-na-x-2024-plaszow-ID4qZbL
Podgórze,Kraków,1,469999.00,1,27.00,2024,17407.00,2024-07-04,https://www.otodom.pl/pl/oferta/najtansze-mieszkanie-w-inwestycji-gotowe-ID4rnbh
Dębniki,Kraków,1,762600.00,4,93.00,2024,8200.00,2024-07-04,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-green-apartments-petrazyckieg-ID47b5l
Prądnik Biały,Kraków,3,549000.00,2,33.00,2024,16636.00,2024-07-04,https://www.otodom.pl/pl/oferta/2-pokojowe-ul-banacha-osiedle-ozon-pradnik-bialy-ID4qRYS
Prądnik Biały,Kraków,1,714000.00,2,41.01,2024,17410.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-na-wybickiego-bez-prowizji-ID4rn1X
Prądnik Biały,Kraków,0,931000.00,3,53.24,2024,17487.00,2024-07-04,https://www.otodom.pl/pl/oferta/3-pokoje-0-podatku-i-prowizji-klimatyzacja-ID4rbwz
Bieżanów-Prokocim,Kraków,1,998000.00,3,62.62,2024,15937.00,2024-07-04,https://www.otodom.pl/pl/oferta/zlocien-nowe-3-pokoje-ID4rmYX
Łagiewniki-Borek Fałęcki,Kraków,0,963300.00,3,57.00,2024,16900.00,2024-07-04,https://www.otodom.pl/pl/oferta/ul-totus-tuus-tesoro-verde-residence-57m2-ID49Vyf
Krowodrza,Kraków,6,1399230.19,3,71.92,2024,19455.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-wykonczony-w-standardzie-premium-ID4ren1
Prądnik Biały,Kraków,6,1399230.19,3,71.92,2024,19455.00,2024-07-04,https://www.otodom.pl/pl/oferta/apartament-wykonczony-w-standardzie-premium-ID4renx
Białołęka,Warszawa,0,1332500.00,4,95.39,2008,13969.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-z-duzym-ogrodkiem-ID4qV8y
Nowa Huta,Kraków,3,619986.00,1,42.80,2024,14486.00,2024-07-04,https://www.otodom.pl/pl/oferta/faktoria-mlyn-lokal-inwestycyjny-b1-b2-p3-lu-8-ID4kFYP
Podgórze,Kraków,2,989700.00,2,39.66,2024,24955.00,2024-07-04,https://www.otodom.pl/pl/oferta/zablocie-bezposrednio-nowe-osiedle-wykonczone-ID4quPY
Podgórze,Kraków,5,719999.00,2,40.00,2024,18000.00,2024-07-04,https://www.otodom.pl/pl/oferta/mieszkanie-2pok-z-balkonem-w-stanie-deweloperskim-ID4rmSi
Bronowice,Kraków,1,949000.00,4,81.30,2024,11673.00,2024-07-04,https://www.otodom.pl/pl/oferta/4-pokoje-green-park-odebrane-super-cena-eng-below-ID4qLBg
